pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,9/30/2023,87.5,-1.42,6.87,"Verlander, Justin",677950,434378,strikeout,swinging_strike,,,,,9,Alek Thomas strikes out swinging.,R,L,R,AZ,HOU,S,2,,0,2,2023,0.4,-0.01,0.73,1.46,,,,0,4,Bot,,,,,455117,,,4.299081059,-127.2664998,-6.84973346,3.579072724,24.71128215,-31.14051598,3.22,1.44,,,,86.8,2389,5.8,716370,434378,455117,547989,514888,608324,665161,676801,643289,663656,54.73,,,0,1,0,0,,30,3,Slider,0,1,0,1,1,0,0,1,,Standard,152,-0.03,-0.152
FF,9/30/2023,93.5,-1.33,6.92,"Verlander, Justin",677950,434378,,foul,,,,,5,Alek Thomas strikes out swinging.,R,L,R,AZ,HOU,S,,,0,1,2023,-1.09,1.58,0.24,2.53,,,,0,4,Bot,,,,,455117,,,6.410441705,-135.7998202,-8.918573277,-14.90427033,31.72180644,-10.87118491,3.22,1.44,128,77.4,10,92.5,2502,6,716370,434378,455117,547989,514888,608324,665161,676801,643289,663656,54.54,,,,,,,,30,2,4-Seam Fastball,0,1,0,1,1,0,0,1,,Standard,208,0,-0.049
CH,9/30/2023,84.9,-1.82,6.81,"Verlander, Justin",677950,434378,,called_strike,,,,,5,Alek Thomas strikes out swinging.,R,L,R,AZ,HOU,S,,,0,0,2023,-1.17,0.86,-0.23,2.34,,,,0,4,Bot,,,,,455117,,,5.98437595,-123.3657151,-5.775942238,-13.10161133,25.51013889,-22.40472524,3.3,1.44,,,,83.8,1740,5.7,716370,434378,455117,547989,514888,608324,665161,676801,643289,663656,54.78,,,,,,,,30,1,Changeup,0,1,0,1,1,0,0,1,,Standard,234,0,-0.038
SL,9/30/2023,88.9,-1.39,6.87,"Verlander, Justin",572233,434378,field_out,hit_into_play,,,,,9,"Christian Walker grounds out, third baseman Alex Bregman to first baseman Jose Abreu.",R,R,R,AZ,HOU,X,5,ground_ball,3,2,2023,0.53,0.42,0.81,1.79,,,502054,2,3,Bot,108.43,170.4,,,455117,,,4.270125874,-129.3726998,-7.318672174,5.181508933,24.69859219,-26.17901438,3.4,1.55,2,82.2,-37,88.7,2613,6,716370,434378,455117,547989,514888,608324,665161,676801,643289,663656,54.51,0.074,0.071,0,1,0,0,2,24,10,Slider,0,0,0,0,0,0,0,0,Standard,Standard,158,-0.026,-0.258
CU,9/30/2023,78.3,-1.43,6.96,"Verlander, Justin",572233,434378,,foul,,,,,5,"Christian Walker grounds out, third baseman Alex Bregman to first baseman Jose Abreu.",R,R,R,AZ,HOU,S,,,3,2,2023,0.39,-0.96,-0.17,2.77,,,502054,2,3,Bot,,,,,455117,,,1.97641361,-114.0958463,-0.444925727,3.096541725,20.57458105,-40.70782624,3.4,1.55,19,88.8,-8,78,2568,6,716370,434378,455117,547989,514888,608324,665161,676801,643289,663656,54.51,,,,,,,,24,9,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,37,0,0
CU,9/30/2023,80.1,-1.43,6.92,"Verlander, Justin",572233,434378,,ball,,,,,11,"Christian Walker grounds out, third baseman Alex Bregman to first baseman Jose Abreu.",R,R,R,AZ,HOU,B,,,2,2,2023,0.33,-0.89,-0.49,3.84,,,502054,2,3,Bot,,,,,455117,,,1.448104703,-116.6462614,1.49398889,2.757598365,20.38798129,-40.7979816,3.54,1.64,,,,79.8,2626,5.9,716370,434378,455117,547989,514888,608324,665161,676801,643289,663656,54.63,,,,,,,,24,8,Curveball,0,0,0,0,0,0,0,0,,Standard,42,0,0.054
FF,9/30/2023,96.7,-1.35,6.96,"Verlander, Justin",572233,434378,,foul,,,,,12,"Christian Walker grounds out, third baseman Alex Bregman to first baseman Jose Abreu.",R,R,R,AZ,HOU,S,,,2,2,2023,-0.74,1.41,0.06,3.61,,,502054,2,3,Bot,,,,,455117,,,5.425652306,-140.5990858,-6.533613892,-11.05601141,32.61896785,-12.18025828,3.4,1.55,191,79,17,96.1,2426,6,716370,434378,455117,547989,514888,608324,665161,676801,643289,663656,54.48,,,,,,,,24,7,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,203,0,0
FF,9/30/2023,95.3,-1.24,7.04,"Verlander, Justin",572233,434378,,ball,,,,,11,"Christian Walker grounds out, third baseman Alex Bregman to first baseman Jose Abreu.",R,R,R,AZ,HOU,B,,,1,2,2023,-0.6,1.37,-0.21,4.14,,,502054,2,3,Bot,,,,,455117,,,4.053919453,-138.6511676,-4.99703321,-8.698783576,32.40407982,-13.54614462,3.54,1.55,,,,94.6,2393,6,716370,434378,455117,547989,514888,608324,665161,676801,643289,663656,54.53,,,,,,,,24,6,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,199,0,0.028
FF,9/30/2023,96.5,-1.29,6.83,"Verlander, Justin",572233,434378,,foul,,,,,6,"Christian Walker grounds out, third baseman Alex Bregman to first baseman Jose Abreu.",R,R,R,AZ,HOU,S,,,1,2,2023,-0.51,1.42,0.57,2.47,,,502054,2,3,Bot,,,,,455117,,,6.05994533,-140.2215106,-9.198188668,-8.04661778,31.60079267,-11.54624276,3.4,1.55,337,101.9,20,96,2356,6.1,716370,434378,455117,547989,514888,608324,665161,676801,643289,663656,54.41,,,,,,,,24,5,4-Seam Fastball,0,0,0,0,0,0,0,0,,Standard,207,0,0
FF,9/30/2023,95.8,-1.35,6.88,"Verlander, Justin",572233,434378,,foul,,,,,2,"Christian Walker grounds out, third baseman Alex Bregman to first baseman Jose Abreu.",R,R,R,AZ,HOU,S,,,1,2,2023,-0.45,1.66,-0.01,3.39,,,502054,2,3,Bot,,,,,455117,,,4.51491319,-139.2042489,-7.25185356,-6.869063095,33.60003838,-9.208593481,3.4,1.55,220,79.6,21,95,2467,6,716370,434378,455117,547989,514888,608324,665161,676801,643289,663656,54.45,,,,,,,,24,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,204,0,0
